Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00433394840682744,-0.00306320117180597,-0.0194116631633085,0,0,0,2.73857462399271,0.00714529233512344,-1.65940222334059E-07,3.51691176172551E-05,0.00558505476211354,-3.76353161715973E-11,0.00918684038293283,0,0,0,0,0,0,package://BFG3_model_3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/base_link.STL,,G3Chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_upper,0.0650130772930368,-0.0271236389517819,0.0150082445304447,0,0,0,0.0676861146381243,4.23609230157793E-05,7.13018602415457E-05,1.41300187765697E-19,0.000176534584005962,-9.58438348899675E-20,0.000216434942762677,0,0,0,0,0,0,package://BFG3_model_3/meshes/LF_upper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/LF_upper.STL,,L1L4_Back-2,Origin_LF_motor,Axis_LF_motor,LF_motor,continuous,0.0549999999999999,0.162499997615819,0,-1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
LF_below,-0.0991295944129766,0.0806420105529512,0.0282418594945069,0,0,0,0.142828758322776,0.000431832046924401,0.000481880745735413,1.55660288226669E-18,0.000614611631775238,-1.36527637527773E-18,0.00104134203793489,0,0,0,0,0,0,package://BFG3_model_3/meshes/LF_below.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/LF_below.STL,,L2L3_back-1,Origin_LF_leg_joint,Axis_LF_leg_joint,LF_leg_joint,continuous,0.138407000906351,-0.0578230239619941,0.00499999999999023,0,0,0,LF_upper,0,0,-1,,,,,,,,,,,,
L_wheel,-1.97207528085386E-12,-2.45035589041542E-12,0.0800201771462317,0,0,0,1.02718865196132,0.0016487592134189,4.7339965561253E-20,-1.38498208063596E-19,0.0016487592134189,-3.29323630968878E-18,0.00265945663227123,0,0,0,0,0,0,package://BFG3_model_3/meshes/L_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/L_wheel.STL,,wheel_simply-1,Origin_LF_wheel_joint,Axis_LF_wheel_joint,LF_wheel_joint,continuous,-0.193407000906352,0.158410012311121,-0.000499999999960976,0,0,0,LF_below,0,0,-1,,,,,,,,,,,,
LB_below,-0.102054497123397,-0.0841819775681431,0.00753564127891371,0,0,0,0.132217168444247,0.000417490221829177,-0.00046851371376093,-3.29018223106585E-20,0.000595085702441836,-2.72862494556802E-20,0.00100783361765157,0,0,0,0,0,0,package://BFG3_model_3/meshes/LB_below.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/LB_below.STL,,L2L3_Front-1,Origin_LB_wheel_joint,Axis_LB_wheel_joint,LB_wheel_joint,continuous,0,0,0,0,0,0,L_wheel,0,0,-1,,,,,,,,,,,,
LB_upper,0.0782441113208532,0.0326540004693341,-0.00966245795925946,0,0,0,0.0731130195976598,3.99487339618615E-05,-6.79478327864683E-05,1.49712963814763E-21,0.000180912418922268,1.18936433976975E-21,0.000217697804432806,0,0,0,0,0,0,package://BFG3_model_3/meshes/LB_upper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/LB_upper.STL,,L1L4_Front-1,Origin_LB_leg_joint,Axis_LB_leg_joint,LB_leg_joint,continuous,-0.193407000906358,-0.158410012311107,0.0334999999999795,0,0,0,LB_below,0,0,-1,,,,,,,,,,,,
L_body,-6.21724893790088E-15,1.12826414877532E-14,-0.0100000000000001,0,0,0,0.0392699081698724,7.44492009053832E-06,6.24245635606682E-22,-1.30551799527545E-21,7.44492009053833E-06,-1.1484295449125E-20,1.22718463030851E-05,0,0,0,0,0,0,package://BFG3_model_3/meshes/L_body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/L_body.STL,,Fake_fix-1,Origin_LB_motor,Axis_LB_motor,LB_motor,continuous,0.138407000906364,0.0578230239619683,0,0,0,0,LB_upper,0,0,1,,,,,,,,,,,,
RF_upper,0.0601628895872412,0.0251690234884734,-0.00966245795926873,0,0,0,0.0731130195976597,3.99487339522099E-05,-6.79478327764567E-05,6.42633394498208E-23,0.00018091241893192,-5.01764045413152E-22,0.000217697804432806,0,0,0,0,0,0,package://BFG3_model_3/meshes/RF_upper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/RF_upper.STL,,L1L4_Front-2,Origin_RF_motor,Axis_RF_motor,RF_motor,continuous,0.0550000000000001,-0.200499997615813,0,1.57079632679489,0,0,base_link,0,0,-1,,,,,,,,,,,,
RF_below,-0.0913525037817211,-0.0742280347492391,-0.010964358721066,0,0,0,0.132217168444246,0.0004174902217937,-0.000468513713754205,-1.42554144249149E-19,0.000595085702477311,-1.12033415386888E-19,0.00100783361765156,0,0,0,0,0,0,package://BFG3_model_3/meshes/RF_below.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/RF_below.STL,,L2L3_Front-2,Origin_RF_leg_joint,Axis_RF_leg_joint,RF_leg_joint,continuous,0.138407000906351,0.0578230239620069,-0.0150000000000091,0,0,0,RF_upper,0,0,1,,,,,,,,,,,,
R_wheel,-5.13478148889135E-15,9.95731275210687E-16,0.0615201771463214,0,0,0,1.02718865196132,0.00164875921341889,-1.17400531141419E-19,1.2762679312884E-19,0.00164875921341889,3.64121739936261E-20,0.00265945663227123,0,0,0,0,0,0,package://BFG3_model_3/meshes/R_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BFG3_model_3/meshes/R_wheel.STL,,wheel_simply-2,Origin_RF_wheel_joint,Axis_RF_wheel_joint,RF_wheel_joint,continuous,-0.193407000906351,-0.158410012311123,0,0,0,0,RF_below,0,0,-1,,,,,,,,,,,,
